,query,link,lang,country,termid
2,Renewable Energy,https://www.google.com/search?ucbcb=1&gl=NG&hl=en&q=Renewable+and+non-renewable+energy&sa=X&ved=2ahUKEwi0go_K_Nn3AhUIj2oFHcQfD80Q1QJ6BAhEEAE,en,NG,58
3,Renewable Energy,https://www.google.com/search?ucbcb=1&gl=NG&hl=en&q=Advantages+of+renewable+energy&sa=X&ved=2ahUKEwi0go_K_Nn3AhUIj2oFHcQfD80Q1QJ6BAhBEAE,en,NG,58
4,Renewable Energy,https://www.google.com/search?ucbcb=1&gl=NG&hl=en&q=Non+renewable+energy+sources&sa=X&ved=2ahUKEwi0go_K_Nn3AhUIj2oFHcQfD80Q1QJ6BAg-EAE,en,NG,58
5,Renewable Energy,https://www.google.com/search?ucbcb=1&gl=NG&hl=en&q=Renewable+energy+technology&sa=X&ved=2ahUKEwi0go_K_Nn3AhUIj2oFHcQfD80Q1QJ6BAg7EAE,en,NG,58
6,Renewable Energy,https://www.google.com/search?ucbcb=1&gl=NG&hl=en&q=Uses+of+renewable+energy&sa=X&ved=2ahUKEwi0go_K_Nn3AhUIj2oFHcQfD80Q1QJ6BAg6EAE,en,NG,58
7,Renewable Energy,https://www.google.com/search?ucbcb=1&gl=NG&hl=en&q=Renewable+energy+Summary&sa=X&ved=2ahUKEwi0go_K_Nn3AhUIj2oFHcQfD80Q1QJ6BAg4EAE,en,NG,58
0,Climate change,https://www.google.com/search?gl=NG&hl=en&q=Types+of+climate+change&sa=X&ved=2ahUKEwjf3tvL_Nn3AhVhTd8KHR9dC9cQ1QJ6BAhiEAE,en,NG,59
1,Climate change,https://www.google.com/search?gl=NG&hl=en&q=Climate+change+-+Wikipedia&sa=X&ved=2ahUKEwjf3tvL_Nn3AhVhTd8KHR9dC9cQ1QJ6BAhhEAE,en,NG,59
2,Climate change,https://www.google.com/search?gl=NG&hl=en&q=Climate+change+definition+PDF&sa=X&ved=2ahUKEwjf3tvL_Nn3AhVhTd8KHR9dC9cQ1QJ6BAhfEAE,en,NG,59
3,Climate change,https://www.google.com/search?gl=NG&hl=en&q=Climate+change+essay&sa=X&ved=2ahUKEwjf3tvL_Nn3AhVhTd8KHR9dC9cQ1QJ6BAhdEAE,en,NG,59
4,Climate change,https://www.google.com/search?gl=NG&hl=en&q=Causes+and+effects+of+climate+change&sa=X&ved=2ahUKEwjf3tvL_Nn3AhVhTd8KHR9dC9cQ1QJ6BAhZEAE,en,NG,59
5,Climate change,https://www.google.com/search?gl=NG&hl=en&q=Climate+change+articles&sa=X&ved=2ahUKEwjf3tvL_Nn3AhVhTd8KHR9dC9cQ1QJ6BAhUEAE,en,NG,59
6,Climate change,https://www.google.com/search?gl=NG&hl=en&q=Why+is+climate+change+important&sa=X&ved=2ahUKEwjf3tvL_Nn3AhVhTd8KHR9dC9cQ1QJ6BAhREAE,en,NG,59
7,Climate change,https://www.google.com/search?gl=NG&hl=en&q=UN+climate+change&sa=X&ved=2ahUKEwjf3tvL_Nn3AhVhTd8KHR9dC9cQ1QJ6BAhLEAE,en,NG,59
0,Soil contamination,https://www.google.com/search?gl=NG&hl=en&q=Soil+contamination+effects&sa=X&ved=2ahUKEwi-qPnQ_Nn3AhXCWM0KHUJCBbsQ1QJ6BAg6EAE,en,NG,65
1,Soil contamination,https://www.google.com/search?gl=NG&hl=en&q=Soil+contamination+examples&sa=X&ved=2ahUKEwi-qPnQ_Nn3AhXCWM0KHUJCBbsQ1QJ6BAg5EAE,en,NG,65
2,Soil contamination,https://www.google.com/search?gl=NG&hl=en&q=Oil+in+soil+contamination&sa=X&ved=2ahUKEwi-qPnQ_Nn3AhXCWM0KHUJCBbsQ1QJ6BAg4EAE,en,NG,65
3,Soil contamination,https://www.google.com/search?gl=NG&hl=en&q=Soil+contamination+solution&sa=X&ved=2ahUKEwi-qPnQ_Nn3AhXCWM0KHUJCBbsQ1QJ6BAg3EAE,en,NG,65
4,Soil contamination,https://www.google.com/search?gl=NG&hl=en&q=Soil+pollution+PDF&sa=X&ved=2ahUKEwi-qPnQ_Nn3AhXCWM0KHUJCBbsQ1QJ6BAg2EAE,en,NG,65
5,Soil contamination,https://www.google.com/search?gl=NG&hl=en&q=Soil+pollution+-+Wikipedia&sa=X&ved=2ahUKEwi-qPnQ_Nn3AhXCWM0KHUJCBbsQ1QJ6BAg1EAE,en,NG,65
6,Soil contamination,https://www.google.com/search?gl=NG&hl=en&q=Soil+contamination+pollution&sa=X&ved=2ahUKEwi-qPnQ_Nn3AhXCWM0KHUJCBbsQ1QJ6BAg0EAE,en,NG,65
7,Soil contamination,https://www.google.com/search?gl=NG&hl=en&q=Effects+of+soil+pollution+on+environment&sa=X&ved=2ahUKEwi-qPnQ_Nn3AhXCWM0KHUJCBbsQ1QJ6BAgxEAE,en,NG,65
0,Greenhouse gas,https://www.google.com/search?gl=NG&hl=en&q=How+many+greenhouse+gases+are+there&sa=X&ved=2ahUKEwif0e_S_Nn3AhXEct8KHf8vDnsQ1QJ6BAhSEAE,en,NG,66
1,Greenhouse gas,https://www.google.com/search?gl=NG&hl=en&q=What+do+greenhouse+gases+do&sa=X&ved=2ahUKEwif0e_S_Nn3AhXEct8KHf8vDnsQ1QJ6BAhUEAE,en,NG,66
2,Greenhouse gas,https://www.google.com/search?gl=NG&hl=en&q=Greenhouse+gases+and+global+warming&sa=X&ved=2ahUKEwif0e_S_Nn3AhXEct8KHf8vDnsQ1QJ6BAhTEAE,en,NG,66
3,Greenhouse gas,https://www.google.com/search?gl=NG&hl=en&q=Is+oxygen+a+greenhouse+gas&sa=X&ved=2ahUKEwif0e_S_Nn3AhXEct8KHf8vDnsQ1QJ6BAhREAE,en,NG,66
4,Greenhouse gas,https://www.google.com/search?gl=NG&hl=en&q=Is+methane+a+greenhouse+gas&sa=X&ved=2ahUKEwif0e_S_Nn3AhXEct8KHf8vDnsQ1QJ6BAhPEAE,en,NG,66
5,Greenhouse gas,https://www.google.com/search?gl=NG&hl=en&q=Is+nitrogen+a+greenhouse+gas&sa=X&ved=2ahUKEwif0e_S_Nn3AhXEct8KHf8vDnsQ1QJ6BAhOEAE,en,NG,66
6,Greenhouse gas,https://www.google.com/search?gl=NG&hl=en&q=Is+ozone+a+greenhouse+gas&sa=X&ved=2ahUKEwif0e_S_Nn3AhXEct8KHf8vDnsQ1QJ6BAhQEAE,en,NG,66
7,Greenhouse gas,https://www.google.com/search?gl=NG&hl=en&q=What+are+greenhouse+gases+TCS&sa=X&ved=2ahUKEwif0e_S_Nn3AhXEct8KHf8vDnsQ1QJ6BAhVEAE,en,NG,66
0,Infection,https://www.google.com/search?hl=en&gl=NG&q=Types+of+infections&sa=X&ved=2ahUKEwiPrYDU_Nn3AhXwmuAKHa3fCrAQ1QJ6BAg3EAE,en,NG,68
1,Infection,https://www.google.com/search?hl=en&gl=NG&q=4+types+of+infections&sa=X&ved=2ahUKEwiPrYDU_Nn3AhXwmuAKHa3fCrAQ1QJ6BAg2EAE,en,NG,68
2,Infection,https://www.google.com/search?hl=en&gl=NG&q=Infection+symptoms&sa=X&ved=2ahUKEwiPrYDU_Nn3AhXwmuAKHa3fCrAQ1QJ6BAg1EAE,en,NG,68
3,Infection,https://www.google.com/search?hl=en&gl=NG&q=Causes+of+infection&sa=X&ved=2ahUKEwiPrYDU_Nn3AhXwmuAKHa3fCrAQ1QJ6BAg0EAE,en,NG,68
4,Infection,https://www.google.com/search?hl=en&gl=NG&q=Types+of+bacterial+infections&sa=X&ved=2ahUKEwiPrYDU_Nn3AhXwmuAKHa3fCrAQ1QJ6BAg5EAE,en,NG,68
5,Infection,https://www.google.com/search?hl=en&gl=NG&q=Infection+definition+medical&sa=X&ved=2ahUKEwiPrYDU_Nn3AhXwmuAKHa3fCrAQ1QJ6BAg4EAE,en,NG,68
0,Flood,https://www.google.com/search?hl=en&gl=NG&q=Causes+of+flood&sa=X&ved=2ahUKEwiGounX_Nn3AhXjlOAKHewnDMMQ1QJ6BAhEEAE,en,NG,70
1,Flood,https://www.google.com/search?hl=en&gl=NG&q=Effects+of+flood&sa=X&ved=2ahUKEwiGounX_Nn3AhXjlOAKHewnDMMQ1QJ6BAg_EAE,en,NG,70
2,Flood,https://www.google.com/search?hl=en&gl=NG&q=Types+of+flood&sa=X&ved=2ahUKEwiGounX_Nn3AhXjlOAKHewnDMMQ1QJ6BAg4EAE,en,NG,70
3,Flood,https://www.google.com/search?hl=en&gl=NG&q=Floods+in+the+world&sa=X&ved=2ahUKEwiGounX_Nn3AhXjlOAKHewnDMMQ1QJ6BAg3EAE,en,NG,70
4,Flood,https://www.google.com/search?hl=en&gl=NG&q=Precautions+of+flood&sa=X&ved=2ahUKEwiGounX_Nn3AhXjlOAKHewnDMMQ1QJ6BAg2EAE,en,NG,70
5,Flood,https://www.google.com/search?hl=en&gl=NG&q=Floods+definition+and+causes&sa=X&ved=2ahUKEwiGounX_Nn3AhXjlOAKHewnDMMQ1QJ6BAg1EAE,en,NG,70
6,Flood,https://www.google.com/search?hl=en&gl=NG&q=Flood+facts&sa=X&ved=2ahUKEwiGounX_Nn3AhXjlOAKHewnDMMQ1QJ6BAg0EAE,en,NG,70
7,Flood,https://www.google.com/search?hl=en&gl=NG&q=Flood+in+India&sa=X&ved=2ahUKEwiGounX_Nn3AhXjlOAKHewnDMMQ1QJ6BAgvEAE,en,NG,70
0,Drought,https://www.google.com/search?hl=en&gl=NG&q=Types+of+drought&sa=X&ved=2ahUKEwjerYnZ_Nn3AhULVd8KHQetDGoQ1QJ6BAhJEAE,en,NG,71
1,Drought,https://www.google.com/search?hl=en&gl=NG&q=10+causes+of+drought&sa=X&ved=2ahUKEwjerYnZ_Nn3AhULVd8KHQetDGoQ1QJ6BAhIEAE,en,NG,71
2,Drought,https://www.google.com/search?hl=en&gl=NG&q=Prevention+of+drought&sa=X&ved=2ahUKEwjerYnZ_Nn3AhULVd8KHQetDGoQ1QJ6BAhGEAE,en,NG,71
