,position,title,link,thumbnail,channel,duration,platform,date,query,lang,country,termid
0,1,El hambre y la malnutrición están creciendo en A. Latina y el ...,https://www.youtube.com/watch?v=Lf_CpaoUXbQ,https://i.ytimg.com/vi/Lf_CpaoUXbQ/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3n23wA-o2SdLmcrubLhOB6IOzy9iQ,Food and Agriculture Organization of the United Nations,2:39,YouTube,12 nov 2019,Malnutrición,es,AR,53
1,2,MALNUTRICIÓN Una epidemia oculta entre los adultos de ...,https://www.youtube.com/watch?v=ADfqv42L7KI,https://i.ytimg.com/vi/ADfqv42L7KI/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3mjvb0iPufdxU2g9gHPNNLMWxO_3Q,Alliance for Aging Research,6:05,YouTube,10 may 2016,Malnutrición,es,AR,53
2,3,Malnutrición,https://www.youtube.com/watch?v=fNn-WkecPCE,https://i.ytimg.com/vi/fNn-WkecPCE/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3l9Uf61fgimEwsCR81n84crKCr_uw,Sociedad Mexicana de Salud Pública,2:12,YouTube,24 oct 2019,Malnutrición,es,AR,53
0,1,¿Cómo se puede enfriar el planeta y frenar el calentamiento ...,https://www.youtube.com/watch?v=2zHpbpjUUY4,https://i.ytimg.com/vi/2zHpbpjUUY4/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3l5QpnCM-FRdrJigLl3n5uNyoGjTA,BBC News Mundo,7:04,YouTube,1 nov 2021,Calentamiento global,es,AR,59
1,2,CALENTAMIENTO GLOBAL: CAUSAS y CONSECUENCIAS,https://www.youtube.com/watch?v=umAGi80FsPM,https://i.ytimg.com/vi/umAGi80FsPM/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3lTnbGPnnAdBUhpDTpKsCp4sx6P1g,EcologíaVerde,4:51,YouTube,18 jul 2019,Calentamiento global,es,AR,59
2,3,Anomalías climáticas y preocupantes efectos del ...,https://www.youtube.com/watch?v=CfRd1uaVgEQ,https://i.ytimg.com/vi/CfRd1uaVgEQ/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3nvZZOnIAPyZGdx0r3rCEzIB3KIJw,euronews (en español),5:01,YouTube,Hace 3 semanas,Calentamiento global,es,AR,59
0,1,"CONTAMINACIÓN DEL SUELO - Causas, consecuencias y ...",https://www.youtube.com/watch?v=dpqDxUK64cs,https://i.ytimg.com/vi/dpqDxUK64cs/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3kJfVNQU-KJ1WALbS7YlEXmcielAA,EcologíaVerde,2:03,YouTube,4 feb 2018,Contaminación del suelo,es,AR,65
1,2,Contaminación del suelo - 14,https://www.youtube.com/watch?v=szL1IFM1ERg,https://i.ytimg.com/vi/szL1IFM1ERg/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3mJGb23X-9jvifmEmCAgD0eFM4oHA,Ingenia UdeA,14:09,YouTube,14 sept 2015,Contaminación del suelo,es,AR,65
2,3,Contaminación del suelo,https://www.youtube.com/watch?v=DY_cnjtx4Nk,https://i.ytimg.com/vi/DY_cnjtx4Nk/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3mpTwIehZ4sTODL8SjEfS2CuaphIw,Biomundos,3:09,YouTube,26 jul 2016,Contaminación del suelo,es,AR,65
0,1,¿Qué es el efecto invernadero? | Sostenibilidad - ACCIONA,https://www.youtube.com/watch?v=YLFLxQ0t07A,https://i.ytimg.com/vi/YLFLxQ0t07A/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3lorUJdbPL1AaghxJEAqt1IWYskfQ,ACCIONA,1:56,YouTube,28 jun 2016,Gas de efecto invernadero,es,AR,66
1,2,¿Qué es el Efecto Invernadero? | Videos Educativos para Niños,https://www.youtube.com/watch?v=D7azpbtGA4Y,https://i.ytimg.com/vi/D7azpbtGA4Y/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3nKs6PFMx4zwF_EmNrqwQ9Jp1lOqw,Aula365 – Los Creadores,4:48,YouTube,20 sept 2017,Gas de efecto invernadero,es,AR,66
2,3,¿Qué es el efecto invernadero? - Medio ambiente para niños,https://www.youtube.com/watch?v=uO_6oS4PUkU,https://i.ytimg.com/vi/uO_6oS4PUkU/mqdefault.jpg?sqp=-oaymwEECHwQRg&rs=AMzJL3m-x3Yoiud7qOxi4blg_P6aCkT03w,Smile and Learn - Español,4:04,YouTube,3 sept 2020,Gas de efecto invernadero,es,AR,66
0,1,¿Qué hacer en caso de inundación?,https://www.youtube.com/watch?v=mFFRzIuD2Nw,https://serpapi.com/searches/627d001e3d6919aa93c4604d/images/5ad91294569bd80b02f085f8b6965ec85e5f95f5140f796b74d180fea186b6df.jpeg,Sikana ES,4:08,YouTube,30 jun 2016,Inundación,es,AR,70
1,2,¿Qué son las Inundaciones?,https://www.youtube.com/watch?v=pd-zP6Al3zA,https://serpapi.com/searches/627d001e3d6919aa93c4604d/images/5ad91294569bd80bf640815144ae8da074f2eced32c085a3c8168029f28140c4.jpeg,Canal IMTA,3:36,YouTube,17 ago 2017,Inundación,es,AR,70
2,3,Inundaciones en Brasil dejan decenas de muertos y miles de ...,https://www.youtube.com/watch?v=TsvJuxfiZN8,https://serpapi.com/searches/627d001e3d6919aa93c4604d/images/5ad91294569bd80b18520ab5c3778ff5a1e86a07e6b8d215e09d2de1d3c91247.jpeg,DW Español,2:13,YouTube,16 feb 2022,Inundación,es,AR,70
0,1,El reto de la SEQUÍA en ARGENTINA | Desastre en las ...,https://www.youtube.com/watch?v=cPQjqsupPz4,https://serpapi.com/searches/627d002c3c3fb23cf43281fb/images/32c6c938fe7a40822cee26be574c1e8a3361598c127b6d0b2bddb4981188a683.jpeg,euronews (en español),2:17,YouTube,Hace 1 mes,Sequía,es,AR,71
1,2,México atraviesa una intensa ola de calor mientras la sequía ...,https://cnnespanol.cnn.com/video/ola-calor-sequia-conagua-clima-pkg-belen-zapata-redaccion-mexico/,https://serpapi.com/searches/627d002c3c3fb23cf43281fb/images/32c6c938fe7a40825d493443535812ac20b4a268900f4732980064d9edbc0d51.jpeg,,,CNN en Español,hace 14 horas,Sequía,es,AR,71
2,3,La fuerte sequía que atraviesa el río Paraná enciende las ...,https://www.youtube.com/watch?v=PpKcpIeZ1ZY,https://serpapi.com/searches/627d002c3c3fb23cf43281fb/images/32c6c938fe7a408278ee1f4b04d14673beca9f70e1a3f6a0f7081120cb6a030e.jpeg,FRANCE 24 Español,4:24,YouTube,4 nov 2021,Sequía,es,AR,71
